x,y
0.9782316,-1.1632636
-2.2655826,1.2896816
-2.5123134,-1.3476261
-0.092156254,-3.10236
-0.32331365,-1.8262388
0.13328366,1.5477232
2.6261642,-3.3339443
2.7392998,0.35907498
2.167097,3.6865313
1.125062,-2.3552344
-0.4149042,-4.3002152
-0.9597895,0.49332738
-2.5814571,-2.7392857
2.6772213,-1.1208161
2.3311014,-4.7346735
-2.845376,-6.432574
-1.0981717,4.9482675
1.5624938,0.1637849
-1.1753228,2.212172
0.27739647,-5.6781154
-1.0529059,-1.1159061
1.1176845,1.6971774
0.3364008,3.956624
-1.3427131,-5.5254025
-2.5903015,3.6039584
