x,y
0.96169776,-1.1567467
-2.4390357,1.1343743
-2.4498472,-1.4143217
-2.1213791,1.8144023
0.13203801,1.9536574
-2.2281268,2.193279
-1.7481331,1.6281052
-2.6202188,-1.0223541
-1.8864745,1.2583462
-0.53841,-1.8980106
1.504846,-1.985514
-2.5630586,-1.7943511
0.7259066,-2.70203
-0.94422793,-1.356736
-0.20423764,-2.8161688
-2.5612423,0.40778095
-3.3853495,-2.6851356
0.71922433,1.7208278
-1.2065572,4.1683936
0.7747847,-1.8803734
-2.2682068,-2.4856994
0.14750199,0.88928527
0.97310954,-2.2815788
-2.1561055,0.7836484
-2.6908004,-0.6694749
-0.15296638,-3.3976169
2.8426588,-1.2011393
1.254239,-2.92419
-2.073019,1.4782048
-0.6312242,-3.027389
2.9338658,-0.8494246
2.1545446,3.5029812
0.14704497,-2.89394
1.659855,3.757453
-0.1726368,-2.1803708
0.17765252,-1.9946162
-0.1925372,-3.3811963
-0.4274443,-1.3812594
0.35763398,-3.0898893
2.9569604,0.3014236
1.2059703,-1.36942
-2.3193767,-1.8855706
-2.9368224,0.45989868
-1.1954874,0.9623463
2.327301,-2.9655404
2.033799,-3.1091437
2.8920536,0.679432
0.116870165,-1.5488737
-2.415701,-0.78297746
-0.7017811,-0.80157185
