x,y
0.9786055,-1.1651883
-2.263036,1.2803491
-2.5070546,-1.3391422
-0.003970579,-3.0104604
-0.32912573,-1.8287531
0.15748216,1.5624644
2.6189466,-3.3094556
2.741817,0.35619205
2.2095456,3.6796823
1.1390606,-2.3491752
-0.39645645,-3.9916897
-0.9425995,0.49475244
-2.5584488,-2.7339728
2.7013693,-1.1671823
2.3402464,-4.729281
-2.7608588,-6.5335927
-1.1292133,4.982302
1.5489902,0.16892892
-1.1908222,2.1965504
0.27681926,-5.631767
-1.0561416,-1.117699
1.181465,1.701664
0.3394769,3.95236
-1.2328199,-5.355377
-2.4805467,3.6916144
