0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016285174,0.0,0.0,0.0,0.016213395,0.0,0.0455484,0.68407863
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03755859,0.27017444,0.0,0.0,0.031048391,0.36671904,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007713294,0.0,0.25930434,0.2791822,0.20204821,0.0,0.018843643,0.0
0.009838572,0.00217321,0.0,0.0,0.0073593585,0.0049674436,0.79850554,0.0
0.0,0.0,0.050764624,0.68590075,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.17893195,0.0,0.0,0.27802455,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5143158,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18549396
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07142316,0.036241867,0.0,0.0,0.014004207,0.44698206,0.0,0.12257052
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010756811,0.001224792,0.0,0.0,0.0002522578,0.011347759,0.0,0.7659911
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019993022
0.0,0.0,0.0,0.25886744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24059795,0.0,0.0,0.0,0.12395881,0.040268764,0.067515254,0.29687864
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.31615067,0.33608413,0.0,0.06538467,0.0038349924,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
