x,y
0.96897537,-1.1571556
-2.4485624,1.1421173
-2.4387307,-1.4118942
-2.1255965,1.8222944
0.12824449,1.9628875
-2.2351975,2.2008512
-1.7519689,1.6324402
-2.613904,-1.0249655
-1.8906304,1.2594548
-0.541868,-1.8924514
1.6355261,-2.0712466
-2.5623598,-1.7924156
0.6342247,-2.3381262
-0.95335025,-1.3605437
-0.36508742,-2.4091904
-2.5548468,0.41614908
-2.85697,-2.2967694
0.6993626,1.7268506
-0.3868536,4.189076
0.7876244,-1.8832995
-2.1983337,-2.38451
0.13873038,0.89225674
0.9402059,-2.2554085
-2.1581738,0.7822505
-2.674738,-0.66946745
