0,1,2,3,4,5,6,7,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034977026,0.0,0.0,0.0,0.0,0.0,0.19238344,0.44463217,0.090411454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004373285,0.270714,0.1540936,0.0,0.047908418,0.17327209,0.0,0.0,0.15153882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018459002,0.02276092,0.28134146,0.22852653,0.1833979,0.0,0.07798048,0.0,0.0
0.0,0.0,0.0,0.14360337,0.0,0.0,0.5726174,0.02387459,0.0
0.0,0.0,0.13414642,0.3952841,0.04606285,0.0,0.17492129,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047961086,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.32411766,0.0,0.0,0.3046608,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971318
0.0,0.0,0.06298839,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.51511574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.32008737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.10422382,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04003877,0.0028612933,0.0021571699,0.0,0.003897453,0.2294429,0.0,0.15868601,0.34069583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.032071397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
