x,y
0.96169776,-1.1567467
-2.4390357,1.1343743
-2.4498472,-1.4143217
-2.1213791,1.8144023
0.13203801,1.9536574
-2.2291315,2.1784065
-1.7481331,1.6281052
-2.6202145,-1.022356
-1.8864745,1.2583462
-0.53841,-1.8980106
2.206457,-1.7497873
-2.5630586,-1.7943511
0.28449416,-2.180062
-0.94422793,-1.356736
-0.766825,-2.2701106
-2.5612423,0.40778112
-2.7271795,-2.187811
0.71922433,1.7208278
-0.37573576,4.0379252
0.7747847,-1.8803734
-1.9824604,-2.2537966
0.14750199,0.88928527
1.1599642,-2.0017614
-2.1561055,0.7836484
-2.69081,-0.669466
