x,y
0.96169776,-1.1567467
-2.4390357,1.1343743
-2.4498472,-1.4143217
-2.1213791,1.8144023
0.13203801,1.9536574
-2.2160552,2.137076
-1.7481331,1.6281052
-2.6202145,-1.022356
-1.8864745,1.2583462
-0.53841,-1.8980106
1.504846,-1.985514
-2.5630586,-1.7943511
0.7259066,-2.70203
-0.94422793,-1.356736
-0.20423764,-2.8161688
-2.5612423,0.40778112
-3.033954,-2.482868
0.71922433,1.7208278
-1.0604284,4.049252
0.7747847,-1.8803734
-2.2682068,-2.4856994
0.14750199,0.88928527
0.97310954,-2.2815788
-2.1561055,0.7836484
-2.69081,-0.669466
-0.9118084,-3.1959412
4.6852965,-1.5624771
1.1955779,-2.792148
-2.073019,1.4782048
-0.6312242,-3.027389
