0,1,2
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.27429736,0.3071854
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.1361245,0.8638755
0.0,0.39717463,0.6028254
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.25122768
0.0,0.0,0.65758115
0.0,0.02627467,0.9737253
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.47100627
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.9629646
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.652082
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.3592774,0.418893
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.9070887
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.630827
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.64642584
0.0,0.46235922,0.5357249
0.0,0.36583403,0.63416594
0.0,0.25522134,0.74477863
0.0,0.31020346,0.4787406
0.0,0.025444478,0.9745555
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0012797266,0.9987203
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.29227045
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.42973632
0.0,0.0,0.49054688
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.305747
0.0,0.0,0.0
0.0,0.26666665,0.7333334
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.067782,0.932218
0.0,0.0,0.28564784
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.4033576,0.59664243
0.0,0.0,0.0
0.0,0.40889677,0.59110326
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.24064267
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.79507434
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.2841209,0.7158791
0.0,0.0,0.0
0.0,0.0,0.111329585
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.9965659
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.26541916,0.56646013
0.0,0.0,0.0
0.0,0.1244815,0.55350274
0.0,0.0,0.27554202
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.2787847
0.0,0.0,0.0
0.0,0.26952115,0.7304788
0.0,0.0,0.0
0.0,0.035676144,0.79185814
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.21557854,0.71872205
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.93926424
0.0,0.31929532,0.6807047
0.0,0.0,0.0005072281
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.49560007,0.5043999
0.0,0.07251551,0.9274845
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.17460302
0.0,0.0,0.0
0.0,0.014197178,0.054376364
0.0,0.0,0.0
0.0,0.0,0.6241097
0.0,0.4309964,0.5384497
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
