x,y
0.97948736,-1.1689235
-2.4963465,1.1303412
-2.4904683,-1.5249627
-2.275735,2.1271124
0.10998262,-3.0397773
-0.5506135,-1.8404629
1.2018458,-2.9338791
-2.5213444,0.35205212
0.12817483,1.9379861
2.7045867,-1.2183167
1.6105705,-1.912665
-1.8777266,1.5296823
-0.008838625,-2.1664264
2.6636848,-0.06602842
-0.44447833,-4.1613955
0.7804812,1.7404994
-1.0579166,-1.4069486
-2.6132712,-0.89884526
0.10954868,0.90343046
-2.2556574,-2.4130378
2.520774,3.63418
-2.8876185,-2.3783395
-0.5228987,-3.4134183
-0.104099736,-1.4093204
-0.9302402,4.954613
-1.4166747,-0.3133992
0.88492537,-2.0906177
2.4917395,-2.8852725
1.762545,4.083247
1.1625539,1.1932269
